,full_name,freq,genre
0,Bruce Fogle,361,applied_science
1,  World Health Organization,349,applied_science
2,Miriam Stoppard,342,applied_science
3,Kenneth Blanchard,331,applied_science
4,Deepak Chopra,310,applied_science
5,  Microsoft Corporation,274,applied_science
6,Hans-Rüdiger Etzold,250,applied_science
7,Peter Ferdinand Drucker,220,applied_science
8,Peter J. D'Adamo,203,applied_science
9,Steve Parker,202,applied_science
10,Hugh Johnson,201,applied_science
11,  Reader's digest,200,applied_science
12,Dan Gookin,199,applied_science
13,  International Business Machines,178,applied_science
14,Elizabeth Fenwick,177,applied_science
15,Philip Kotler,173,applied_science
16,David Alderton,170,applied_science
17,David Gerald Hessayon,167,applied_science
18,Maria Treben,160,applied_science
19,Robert C. Atkins,157,applied_science
20,  United States,150,applied_science
21,Arlene Eisenberg,149,applied_science
22,Oliver Sacks,148,applied_science
23,Jean Carper,148,applied_science
24,Ian Graham,147,applied_science
25,Michel Montignac,145,applied_science
26,Anne Willan,143,applied_science
27,Annette Wolter,141,applied_science
28,Anne Wilson,140,applied_science
29,  Dr. Oetker,140,applied_science
30,Anne Hooper,137,applied_science
31,Andy Rathbone,136,applied_science
32,David Taylor,135,applied_science
33,Mantak Chia,131,applied_science
34,Andrew Weil,129,applied_science
35,Louise L. Hay,128,applied_science
36,Kris Jamsa,128,applied_science
37,Christian Teubner,126,applied_science
38,Allen Carr,124,applied_science
39,Peter Norton,123,applied_science
40,Stephen L. Nelson,123,applied_science
41,Sheila Kitzinger,122,applied_science
42,Maurice Mességué,120,applied_science
43,Earl L. Mindell,117,applied_science
44,Jamie Oliver,116,applied_science
45,Herbert Schildt,115,applied_science
46,Michio Kushi,115,applied_science
47,"  Catapult, Inc.",114,applied_science
48,Thomas J. Peters,112,applied_science
49,Benjamin Spock,111,applied_science
50,Jill Norman,111,applied_science
51,Scott Adams,111,applied_science
52,Gennadij Petrovič Malahov,111,applied_science
53,Alan Simpson,110,applied_science
54,Viktor Emil Frankl,108,applied_science
55,  Organization for Economic Co-operation and Development,107,applied_science
56,John Seymour,102,applied_science
57,John Brookes,102,applied_science
58,Angela Wilkes,99,applied_science
59,Frédérick Leboyer,99,applied_science
60,Harvey Diamond,98,applied_science
61,Bill Gunston,98,applied_science
62,Al Ries,96,applied_science
63,Michael Jackson,95,applied_science
64,Frank Henry Netter,91,applied_science
65,Greg Harvey,90,applied_science
66,Alexander Lowen,89,applied_science
67,Malcolm Hillier,87,applied_science
68,  Food and Agriculture Organization,87,applied_science
69,Brian Tracy,85,applied_science
70,Alex Comfort,83,applied_science
71,Cornelia Adam,83,applied_science
72,Rob Herwig,82,applied_science
73,Van Wolverton,81,applied_science
74,  Sweden,80,applied_science
75,Deke McClelland,79,applied_science
76,Desmond Morris,79,applied_science
77,Angela Royston,78,applied_science
78,Robert Heller,78,applied_science
79,Tinsley Randolph Harrison,77,applied_science
80,Rüdiger Dahlke,77,applied_science
81,  American Psychiatric Association,76,applied_science
82,Vernon Coleman,75,applied_science
83,Dick Mills,74,applied_science
84,Greg M. Perry,73,applied_science
85,Penelope Leach,73,applied_science
86,  International Institute of Management LINK,72,applied_science
87,Michael B. Karbo,72,applied_science
88,Patrick Holford,72,applied_science
89,James Tyler Kent,71,applied_science
90,Oz Clarke,70,applied_science
91,Rodnay Zaks,70,applied_science
92,Samm Sinclair Baker,70,applied_science
93,John P. Kotter,70,applied_science
94,  Vātsyāyana,70,applied_science
95,Arthur C. Guyton,69,applied_science
96,Spencer Johnson,68,applied_science
97,Irvin D. Yalom,68,applied_science
98,Peter Mayle,67,applied_science
99,James Herriot,67,applied_science
0,Isaac Asimov,442,exact_science
1,Jurij Nikolaevič Makaryčev,388,exact_science
2,Marija Ignat'evna Moro,330,exact_science
3,Steve Parker,320,exact_science
4,Stephen W. Hawking,318,exact_science
5,Desmond Morris,284,exact_science
6,Marija Aleksandrovna Bantova,280,exact_science
7,David Burnie,266,exact_science
8,Boris Borisovič Buhovcev,260,exact_science
9,Andrej Nikolaevič Kolmogorov,236,exact_science
10,Richard Phillips Feynman,232,exact_science
11,Charles Robert Darwin,230,exact_science
12,David Arkad'evič E̊pštejn,223,exact_science
13,Albert Einstein,186,exact_science
14,John Gribbin,184,exact_science
15,Aleksandr Vasil'evič Peryškin,182,exact_science
16,Anita Ganeri,174,exact_science
17,Stephen Jay Gould,171,exact_science
18,Zoja Aleksandrovna Klepinina,163,exact_science
19,Paul Charles William Davies,160,exact_science
20,Michael Chinery,155,exact_science
21,Naum Jakovlevič Vilenkin,154,exact_science
22,Aleksej Vasil'evič Pogorelov,150,exact_science
23,Jakov Isidorovič Perel'man,150,exact_science
24,Lev Davidovič Landau,148,exact_science
25,Peter William Atkins,146,exact_science
26,Barbara Taylor,140,exact_science
27,Richard Dawkins,139,exact_science
28,Martin Gardner,138,exact_science
29,Ljudmila Petrovna Čistova,132,exact_science
30,Neil Ardley,132,exact_science
31,Carl Sagan,131,exact_science
32,Abram Konstantinovič Kikoin,129,exact_science
33,Gerald Durrell,129,exact_science
34,Nick Arnold,122,exact_science
35,Jurij Ivanovič Poljanskij,119,exact_science
36,Anna Moiseevna Cuzmer,116,exact_science
37,Aleksandr Semenovič Česnokov,115,exact_science
38,Leonid Aleksandrovič Cvetkov,113,exact_science
39,Jean-Henri Fabre,109,exact_science
